"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","692","user dapat login dengan sukses menggunakan akun standar","chromium","2026-09-22","passed","2026-09-22","Modul Login SauceDemo","login.spec.ts","",""
"","765","user dapat login dengan sukses menggunakan akun standar","mobile","2026-09-22","passed","2026-09-22","Modul Login SauceDemo","login.spec.ts","",""
